# Mapping of OMA species codes to NCBI taxon IDs and scientific names.
# Note: OMA species codes are whenever possible identical to UniProt codes.
# Format: OMA code<tab>OMA Taxon ID<tab>NCBI Taxon ID<tab>GTDB genome accession<tab>Scientific name<tab>Genome source<tab>Version/Release
ACIMA	-654945590	926570	RS_GCF_000202835.1	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU 301)	EBI	03-JUN-2011 (Rel. 109, Last updated, Version 2)
ACIS0	-303507363	673860	RS_GCF_000327505.1	Aciduliprofundum sp. (strain MAR08-339)	EBI	23-JUL-2013 (Rel. 117, Last updated, Version 2)
ACIS3	-2043314358	666510	RS_GCF_000144915.1	Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)	Genome Reviews	30-NOV-2010 (Rel. 127, Last updated, Version 2)
ACISD	-1083050194	436717	RS_GCF_000196795.1	Acinetobacter oleivorans (strain JCM 16667 / KCTC 23045 / DR1)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 6)
ACISJ	-111744311	232721	RS_GCF_000015545.1	Acidovorax sp. (strain JS42)	EBI	05-JAN-2007 (Rel. 90, Last updated, Version 1)
ACTCC	1590841	1590841	n/a	Actinidia chinensis var. chinensis	EnsemblGenomes	Ensembl Plants 45; Red5_PS1_1.69.0
ACTM4	-1670328273	512565	RS_GCF_000284295.1	Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NBRC 102363 / NCIMB 12654 / NRRL B-3342 / UNCC 431)	EBI	29-MAR-2012 (Rel. 112, Last updated, Version 1)
ACTMD	-503875992	446462	RS_GCF_000023245.1	Actinosynnema mirum (strain ATCC 29888 / DSM 43827 / JCM 3225 / NBRC 14064 / NCIMB 13271 / NRRL B-12336 / IMRU 3971 / 101)	Genome Reviews	24-NOV-2009 (Rel. 114, Last updated, Version 3)
ACTP2	-1805523965	416269	RS_GCF_000015885.1	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	Genome Reviews	26-JUN-2007 (Rel. 76, Last updated, Version 3)
ACTP7	-432513983	537457	RS_GCF_000020405.1	Actinobacillus pleuropneumoniae serotype 7 (strain AP76)	Genome Reviews	02-SEP-2008 (Rel. 95, Last updated, Version 1)
ACTPJ	-101679002	434271	RS_GCF_000016685.1	Actinobacillus pleuropneumoniae serotype 3 (strain JL03)	Genome Reviews	29-APR-2008 (Rel. 90, Last updated, Version 1)
ACTS5	-1261336274	134676	RS_GCF_900119315.1	Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 / SE50/110)	EBI	13-DEC-2011 (Rel. 111, Last updated, Version 1)
ACTSZ	-518310724	339671	GB_GCA_000017245.1	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z)	Genome Reviews	26-FEB-2008 (Rel. 87, Last updated, Version 2)
ACTUT	-1468641601	1869	RS_GCF_016862455.1	Actinoplanes utahensis	EnsemblGenomes	Ensembl Bacteria 41; ASM78598v1
ACYPI	7029	7029	n/a	Acyrthosiphon pisum	EnsemblGenomes	Ensembl Metazoa v7; Acyr2; 27-NOV-2010
ADVKW	-1529685012	1036672	RS_GCF_000219915.2	Advenella kashmirensis (strain DSM 17095 / LMG 22695 / WT001)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 4)
AEDAE	7159	7159	n/a	Aedes aegypti	Ensembl	AaegL1; Ensembl v42; 26-NOV-2006
AEDAL	7160	7160	n/a	Aedes albopictus	VectorBase	VectorBase; AalbFP1.0; GCA_006496715.1
AEGTA	37682	37682	n/a	Aegilops tauschii	EnsemblGenomes	Ensembl Plants 21; GCA_000347335.1; 6-DEC-2013
AEGTS	200361	200361	n/a	Aegilops tauschii subsp. strangulata	Refseq	Refseq; Aet v5.0; GCF_002575655.2; 02-DEC-2021
AEQSU	-1826786208	746697	RS_GCF_000265385.1	Aequorivita sublithincola (strain DSM 14238 / LMG 21431 / ACAM 643 / 9-3)	EBI	15-JUL-2013 (Rel. 117, Last updated, Version 2)
AERHH	-702598076	380703	RS_GCF_000014805.1	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	EBI	30-NOV-2006 (Rel. 89, Last updated, Version 3)
AERPE	-2090151792	272557	RS_GCF_000011125.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	Genome Reviews	17-APR-2007 (Rel. 72, Last updated, Version 74)
AERS4	-1099331807	382245	RS_GCF_000196395.1	Aeromonas salmonicida (strain A449)	Genome Reviews	26-JUN-2007 (Rel. 76, Last updated, Version 3)
AERUA	-1659526709	866775	RS_GCF_000193205.1	Aerococcus urinae (strain ACS-120-V-Col10a)	EBI	16-DEC-2013 (Rel. 119, Last updated, Version 4)
AERVB	-1355753225	998088	RS_GCF_000204115.1	Aeromonas veronii (strain B565)	EBI	03-FEB-2014 (Rel. 119, Last updated, Version 3)
AFIC4	-1545097626	1031710	RS_GCF_000218585.1	Afipia carboxidovorans (strain OM4)	EBI	23-NOV-2011 (Rel. 110, Last updated, Version 3)
AFIC5	-1371274223	504832	RS_GCF_000218565.1	Afipia carboxidovorans (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)	Genome Reviews	12-MAY-2009 (Rel. 106, Last updated, Version 5)
AGABI	192523	192523	n/a	Agaricus bisporus var. bisporus	JGI	v2.0
AGABU	597362	597362	n/a	Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392)	EnsemblGenomes	Ensembl Fungi 48; Agabi_varbur_1
AGARV	-1140930106	515619	GB_GCA_000020605.1	Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990)	Genome Reviews	25-MAY-2010 (Rel. 121, Last updated, Version 12)
AGGAD	-560709099	668336	GB_GCA_000146265.4	Aggregatibacter actinomycetemcomitans serotype C (strain D11S-1)	Genome Reviews	09-FEB-2010 (Rel. 117, Last updated, Version 2)
AGGAN	-203953721	634176	RS_GCF_000022985.1	Aggregatibacter aphrophilus (strain NJ8700)	EBI	03-JUL-2009 (Rel. 101, Last updated, Version 1)
AGRFC	-1119870265	176299	RS_GCF_000092025.1	Agrobacterium fabrum (strain C58 / ATCC 33970)	Genome Reviews	01-SEP-2009 (Rel. 110, Last updated, Version 111)
AGRRK	-1425241538	311403	RS_GCF_000016265.1	Agrobacterium radiobacter (strain K84 / ATCC BAA-868)	Genome Reviews	07-JUL-2009 (Rel. 108, Last updated, Version 3)
AGRVS	-1477599914	311402	RS_GCF_000016285.1	Agrobacterium vitis (strain S4 / ATCC BAA-846)	Genome Reviews	25-MAY-2010 (Rel. 121, Last updated, Version 14)
AILME	9646	9646	n/a	Ailuropoda melanoleuca	Ensembl	Ensembl 70; ailMel1; 12-DEC-2012
AJEC8	544711	544711	n/a	Ajellomyces capsulatus (strain H88)	EnsemblGenomes	Ensembl Fungi 48; ASM15100v2
AJECH	544712	544712	n/a	Ajellomyces capsulatus (strain H143)	EnsemblGenomes	Ensembl Fungi 48; ASM15103v1
AJECN	2059318	2059318	n/a	Ajellomyces capsulatus (strain NAm1 / WU24)	EnsemblGenomes	Ensembl Fungi 48; ASM14958v1
AJEDR	559297	559297	n/a	Ajellomyces dermatitidis (strain ER-3 / ATCC MYA-2586)	EnsemblGenomes	Ensembl Fungi 48; BD_ER3_V1
AKKM8	-8654146	349741	RS_GCF_000020225.1	Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc)	Genome Reviews	02-SEP-2008 (Rel. 95, Last updated, Version 2)
ALCBS	-564098412	393595	RS_GCF_000009365.1	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	Genome Reviews	03-OCT-2006 (Rel. 59, Last updated, Version 2)
ALCDB	-550668805	930169	RS_GCF_000300005.1	Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / MCCC 1A00001 / B-5)	EBI	15-NOV-2012 (Rel. 114, Last updated, Version 3)
ALIAD	-1806908885	521098	RS_GCF_000024285.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / BCRC 14685 / JCM 5260 / KCTC 1825 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-IA)	Genome Reviews	22-DEC-2009 (Rel. 115, Last updated, Version 1)
ALIAG	-1275987604	1356854	RS_GCF_000444055.1	Alicyclobacillus acidoterrestris (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)	EnsemblGenomes	Ensembl Bacteria 46; Alicyclobac_acidoter_v1
ALIAT	-1145695082	1048834	RS_GCF_000219875.1	Alicyclobacillus acidocaldarius (strain Tc-4-1)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 5)
ALIB4	-1682781665	367737	RS_GCF_000014025.1	Aliarcobacter butzleri (strain RM4018)	Genome Reviews	15-JAN-2008 (Rel. 85, Last updated, Version 2)
ALIDK	-316929716	596154	RS_GCF_000204645.1	Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601)	EBI	12-OCT-2011 (Rel. 110, Last updated, Version 4)
ALIF1	-991552945	312309	RS_GCF_000011805.1	Aliivibrio fischeri (strain ATCC 700601 / ES114)	EBI	03-FEB-2014 (Rel. 119, Last updated, Version 9)
ALIFI	-514335245	679935	RS_GCF_000265365.1	Alistipes finegoldii (strain DSM 17242 / JCM 16770 / CCUG 46020 / CIP 107999 / KCTC 15236 / AHN 2437)	EBI	18-JAN-2015 (Rel. 123, Last updated, Version 3)
ALIFM	-2126535776	388396	RS_GCF_000020845.1	Aliivibrio fischeri (strain MJ11)	Genome Reviews	16-DEC-2008 (Rel. 100, Last updated, Version 2)
ALISL	-538589898	316275	RS_GCF_000196495.1	Aliivibrio salmonicida (strain LFI1238)	Genome Reviews	16-DEC-2008 (Rel. 100, Last updated, Version 1)
ALKA3	-872499916	1236973	RS_GCF_000513135.1	Alkalihalobacillus akibai (strain ATCC 43226 / DSM 21942 / CIP 109018 / JCM 9157 / 1139)	EnsemblGenomes	Ensembl Bacteria 39; ASM51313v1
ALKCA	-958777605	2731377	RS_GCF_014467015.1	Alkalicella caledoniensis	Refseq	Refseq; ASM1446701v1; GCA_014467015.1; 03-SEP-2020
ALKCK	-1388066515	66692	RS_GCF_000009825.1	Alkalihalobacillus clausii (strain KSM-K16)	EBI	17-MAY-2009 (Rel. 100, Last updated, Version 11)
ALKEH	-537137402	187272	RS_GCF_000014785.1	Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 11)
ALKHC	-1632925080	272558	RS_GCF_000011145.1	Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	Genome Reviews	02-MAR-2010 (Rel. 118, Last updated, Version 118)
ALKMQ	-142649041	293826	RS_GCF_000016985.1	Alkaliphilus metalliredigens (strain QYMF)	Genome Reviews	05-FEB-2008 (Rel. 86, Last updated, Version 1)
ALKOO	-668705863	350688	RS_GCF_000018325.1	Alkaliphilus oremlandii (strain OhILAs)	Genome Reviews	05-FEB-2008 (Rel. 86, Last updated, Version 1)
ALKPO	-1905634844	398511	RS_GCF_000005825.2	Alkalihalobacillus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 10)
ALLM3	578462	578462	n/a	Allomyces macrogynus (strain ATCC 38327)	EnsemblGenomes	Ensembl Fungi 51; A_macrogynus_V3
ALLVD	-424160883	572477	RS_GCF_000025485.1	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 6)
ALTAL	5599	5599	n/a	Alternaria alternata	EnsemblGenomes	Ensembl Fungi 48; Altal1
ALTMB	-915645704	1004787	RS_GCF_000300175.1	Alteromonas macleodii (strain Balearic Sea AD45)	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 3)
ALTMD	-1248192050	1774373	RS_GCF_000020585.3	Alteromonas mediterranea (strain DSM 17117 / CIP 110805 / LMG 28347 / Deep ecotype)	Genome Reviews	14-OCT-2008 (Rel. 97, Last updated, Version 1)
ALTME	-2019819893	1004788	RS_GCF_000299955.1	Alteromonas macleodii (strain English Channel 673)	EBI	30-SEP-2012 (Rel. 114, Last updated, Version 1)
ALTMS	-1327165189	1004785	RS_GCF_000299995.1	Alteromonas macleodii (strain Black Sea 11)	EBI	30-SEP-2012 (Rel. 114, Last updated, Version 1)
ALTNA	-563329299	715451	RS_GCF_000213655.1	Alteromonas naphthalenivorans	EBI	15-MAY-2014 (Rel. 120, Last updated, Version 5)
AMBTC	13333	13333	n/a	Amborella trichopoda	EnsemblGenomes	Ensembl Plants 23; GCA_000471905.1; 19-JUL-2014
AMICL	-1147476859	572547	RS_GCF_000025885.1	Aminobacterium colombiense (strain DSM 12261 / ALA-1)	Genome Reviews	05-OCT-2010 (Rel. 125, Last updated, Version 2)
AMOA5	-457434241	452471	RS_GCF_000020565.1	Amoebophilus asiaticus (strain 5a2)	Genome Reviews	02-SEP-2008 (Rel. 95, Last updated, Version 1)
AMPCI	61819	61819	n/a	Amphilophus citrinellus	Ensembl	Ensembl Vertebrates 46; Midas_v5
AMPOC	80972	80972	n/a	Amphiprion ocellaris	Ensembl	Ensembl 94; AmpOce1.0
AMPPE	161767	161767	n/a	Amphiprion percula	Ensembl	Ensembl Vertebrates 46; Nemo_v1
AMPQE	400682	400682	n/a	Amphimedon queenslandica	EnsemblGenomes	Ensembl Metazoa 12; Aqu1; 18-DEC-2011
AMPXN	-1754668588	698758	RS_GCF_000307165.1	Amphibacillus xylanus (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01)	EBI	02-OCT-2012 (Rel. 114, Last updated, Version 1)
AMYMS	-751948094	713604	RS_GCF_000220945.1	Amycolatopsis mediterranei (strain S699)	EBI	16-MAY-2014 (Rel. 120, Last updated, Version 6)
AMYMU	-1316345585	749927	RS_GCF_000196835.1	Amycolatopsis mediterranei (strain U-32)	EBI	30-JUN-2010 (Rel. 105, Last updated, Version 1)
ANACC	-229112872	272123	RS_GCF_000317695.1	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	EBI	18-JUL-2013 (Rel. 117, Last updated, Version 2)
ANAD2	-1508282738	455488	RS_GCF_000022145.1	Anaeromyxobacter dehalogenans (strain 2CP-1 / ATCC BAA-258)	Genome Reviews	09-FEB-2010 (Rel. 117, Last updated, Version 12)
ANADE	-1854804827	290397	RS_GCF_000013385.1	Anaeromyxobacter dehalogenans (strain 2CP-C)	EBI	31-JAN-2006 (Rel. 86, Last updated, Version 2)
ANADF	-103962113	404589	RS_GCF_000017505.1	Anaeromyxobacter sp. (strain Fw109-5)	Genome Reviews	04-DEC-2007 (Rel. 84, Last updated, Version 3)
ANAHA	-158877100	649756	RS_GCF_001404655.1	Anaerostipes hadrus	EnsemblGenomes	Ensembl Bacteria 45; ASM21069v1; GCA_000210695.1
ANAMF	-599306976	320483	RS_GCF_000215485.1	Anaplasma marginale (strain Florida)	EBI	22-NOV-2011 (Rel. 110, Last updated, Version 2)
ANAMM	-274124333	234826	RS_GCF_000215525.1	Anaplasma marginale (strain St. Maries)	EBI	03-FEB-2014 (Rel. 119, Last updated, Version 7)
ANAPD	-660439204	525919	RS_GCF_000024105.1	Anaerococcus prevotii (strain ATCC 9321 / DSM 20548 / JCM 6508 / NCTC 11806 / PC1)	Genome Reviews	03-NOV-2009 (Rel. 113, Last updated, Version 1)
ANAPL	8839	8839	n/a	Anas platyrhynchos	Ensembl	Ensembl 73; BGI_duck_1.0; 24-AUG-2013
ANAPP	8840	8840	n/a	Anas platyrhynchos platyrhynchos	Ensembl	Ensembl Vertebrates 48; CAU_duck1.0
ANAPZ	-1550387191	212042	RS_GCF_000013125.1	Anaplasma phagocytophilum (strain HZ)	EBI	03-FEB-2014 (Rel. 119, Last updated, Version 5)
ANASK	-1046539708	447217	RS_GCF_000020805.1	Anaeromyxobacter sp. (strain K)	Genome Reviews	14-OCT-2008 (Rel. 97, Last updated, Version 1)
ANATE	64144	64144	n/a	Anabas testudineus	Ensembl	Ensembl 94; fAnaTes1.1
ANATU	-1702512853	926569	RS_GCF_000199675.1	Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1)	EBI	03-JUN-2011 (Rel. 109, Last updated, Version 2)
ANGAN	7936	7936	n/a	Anguilla anguilla	Refseq	Refseq; fAngAng1.pri; GCF_013347855.1; 07-JUL-2020
ANGCS	334426	334426	n/a	Angiostrongylus costaricensis	EBI	WormbaseParasite; A_costaricensis_Costa_Rica_0011_upd; GCA_900624975.1
ANOCA	28377	28377	n/a	Anolis carolinensis	Ensembl	Ensembl 70; AnoCar2.0; 11-DEC-2012
ANODA	43151	43151	n/a	Anopheles darlingi	EnsemblGenomes	Ensembl Metazoa 27; AdarC3; 2-JUN-2015
ANOFW	-156995745	491915	RS_GCF_000019045.1	Anoxybacillus flavithermus (strain DSM 21510 / WK1)	Genome Reviews	08-MAR-2011 (Rel. 129, Last updated, Version 25)
ANOGA	7165	7165	n/a	Anopheles gambiae	EnsemblGenomes	Ensembl Metazoa 42; AgamP4
ANOSI	74873	74873	n/a	Anopheles sinensis	EnsemblGenomes	Ensembl Metazoa 52; AsinC2
ANOST	30069	30069	n/a	Anopheles stephensi	EnsemblGenomes	Ensembl Metazoa 52; AsteI2
AOTNA	37293	37293	n/a	Aotus nancymaae	EnsemblGenomes	Ensembl  41; Anan_2.0
APIME	7460	7460	n/a	Apis mellifera	EnsemblGenomes	Ensembl Metazoa 42; GCA_000002195.1
AQUAE	-1574192628	224324	RS_GCF_000008625.1	Aquifex aeolicus (strain VF5)	Genome Reviews	01-SEP-2009 (Rel. 110, Last updated, Version 111)
ARAAL	50452	50452	n/a	Arabis alpina	EBI	ENA; A_alpina_V4; GCA_000733195.1
ARALY	59689	59689	n/a	Arabidopsis lyrata	Ensembl	Ensembl 37; v.1.0
ARAPF	-2080470401	767029	RS_GCF_000277715.1	Arachnia propionica (strain F0230a)	EBI	13-JUL-2012 (Rel. 113, Last updated, Version 1)
ARATH	3702	3702	n/a	Arabidopsis thaliana	EnsemblGenomes	Ensembl Plants 38; TAIR10
ARCFU	-627288153	224325	RS_GCF_000008665.1	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	Genome Reviews	01-SEP-2009 (Rel. 110, Last updated, Version 111)
ARCG3	-592678124	1579373	GB_GCA_000830295.1	Archaeon GW2011_AR15	EBI	ENA; GCA_000830295.1
ARCG5	-1529441844	1579370	GB_GCA_000830275.1	Archaeon GW2011_AR10	EBI	ENA; GCA_000830275.1
ARCG6	-1569324991	1579378	GB_GCA_000830315.1	Archaeon GW2011_AR20	EBI	ENA; GCA_000830315.1
ARCGX	-954064274	1579367	GB_GCA_000806115.1	Archaeon GW2011_AR5	EBI	ENA; GCA_000806115.1
ARCHD	-2140560027	644284	RS_GCF_000092365.1	Arcanobacterium haemolyticum (strain ATCC 9345 / DSM 20595 / CCUG 17215 / LMG 16163 / NBRC 15585 / NCTC 8452 / 11018)	Genome Reviews	08-MAR-2011 (Rel. 129, Last updated, Version 5)
ARCNC	-1072979513	572480	RS_GCF_000092245.1	Arcobacter nitrofigilis (strain ATCC 33309 / DSM 7299 / CCUG 15893 / LMG 7604 / NCTC 12251 / CI)	EBI	23-NOV-2011 (Rel. 110, Last updated, Version 4)
ARCPA	-2012587523	572546	RS_GCF_000025285.1	Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	Genome Reviews	25-MAY-2010 (Rel. 121, Last updated, Version 2)
