GO_term_def,Gene_name,Association_score,Disease_association,Full_name
cell,ACSL4,0.49009971050482654,Intellectual disability,acyl-CoA synthetase long chain family member 4
cell,ACSL4,0.2956638837477614,Intellectual disability,acyl-CoA synthetase long chain family member 4
cell,ACTA1,0.43453458638338816,Arthrogryposis syndrome,"actin alpha 1, skeletal muscle"
cell,ACTB,0.4689044406312154,Intellectual disability,actin beta
cell,ACTB,0.4689044406312154,Intellectual disability,actin beta
cell,ACTB,0.01419241835857709,Arthrogryposis syndrome,actin beta
cell,ACTL6B,0.406537840153172,Intellectual disability,actin like 6B
cell,ACTL6B,0.406537840153172,Intellectual disability,actin like 6B
cell,ACTR8,0.03104470779351495,Intellectual disability,actin related protein 8
cell,ACTRT3,0.04474872880522369,Intellectual disability,actin related protein T3
cell,ACVR1,0.05063091044185004,Arthrogryposis syndrome,activin A receptor type 1
cell,ACVR2A,0.04168675970916094,Arthrogryposis syndrome,activin A receptor type 2A
cell,ADAD2,0.03104470779351495,Intellectual disability,adenosine deaminase domain containing 2
cell,ADAM10,0.0199573121529739,Arthrogryposis syndrome,ADAM metallopeptidase domain 10
cell,ADAM20,0.05089853758717713,Intellectual disability,ADAM metallopeptidase domain 20
cell,ADAM22,0.26609749537298527,Intellectual disability,ADAM metallopeptidase domain 22
cell,ADAM22,0.26609749537298527,Intellectual disability,ADAM metallopeptidase domain 22
cell,ADCY1,0.04133381094793705,Intellectual disability,adenylate cyclase 1
cell,ADCY6,0.6426303463499433,Arthrogryposis syndrome,adenylate cyclase 6
cell,ADCYAP1,0.03865990069929322,Intellectual disability,adenylate cyclase activating polypeptide 1
cell,ADGRB2,0.0413929437246866,Intellectual disability,adhesion G protein-coupled receptor B2
cell,ADGRG1,0.11863513335378928,Intellectual disability,adhesion G protein-coupled receptor G1
cell,ADGRG1,0.3621882575910077,Intellectual disability,adhesion G protein-coupled receptor G1
cell,ADGRV1,0.25947128023372035,Abnormal pattern of respiration,adhesion G protein-coupled receptor V1
cell,ADH1B,0.01348966469599161,Arthrogryposis syndrome,"alcohol dehydrogenase 1B (class I), beta polypeptide"
cell,ADIPOQ,0.02915164634108747,Arthrogryposis syndrome,"adiponectin, C1Q and collagen domain containing"
cell,ADNP,0.49730049279949,Intellectual disability,activity dependent neuroprotector homeobox
cell,ADNP,0.5036696694335121,Intellectual disability,activity dependent neuroprotector homeobox
cell,ADORA1,0.5417737994227806,Abnormal pattern of respiration,adenosine A1 receptor
cell,ADORA2A,0.5417737994227806,Abnormal pattern of respiration,adenosine A2a receptor
cell,ADORA2B,0.5417737994227806,Abnormal pattern of respiration,adenosine A2b receptor
cell,ADORA3,0.5417737994227806,Abnormal pattern of respiration,adenosine A3 receptor
cell,ADPRM,0.0343191853060214,Intellectual disability,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
cell,ADRA1A,0.07391597093694036,Abnormal pattern of respiration,adrenoceptor alpha 1A
cell,ADRA1B,0.07391597093694036,Abnormal pattern of respiration,adrenoceptor alpha 1B
cell,ADRA1D,0.07391597093694036,Abnormal pattern of respiration,adrenoceptor alpha 1D
cell,ADRA2A,0.07395251612667597,Abnormal pattern of respiration,adrenoceptor alpha 2A
cell,ADRA2B,0.07391597093694036,Abnormal pattern of respiration,adrenoceptor alpha 2B
cell,ADRA2C,0.07391597093694036,Abnormal pattern of respiration,adrenoceptor alpha 2C
cell,ADSL,0.01656949681836413,Arthrogryposis syndrome,adenylosuccinate lyase
cell,AFF2,0.3432582342294551,Intellectual disability,AF4/FMR2 family member 2
cell,AFF2,0.3699494345393865,Intellectual disability,AF4/FMR2 family member 2
cell,AFG3L2,0.3326218692162316,Intellectual disability,AFG3 like matrix AAA peptidase subunit 2
cell,AFG3L2,0.3326218692162316,Intellectual disability,AFG3 like matrix AAA peptidase subunit 2
cell,AFG3L2,0.04335356485378894,Arthrogryposis syndrome,AFG3 like matrix AAA peptidase subunit 2
cell,AGA,0.11179790604212228,Intellectual disability,aspartylglucosaminidase
cell,AGA,0.11087395640541052,Intellectual disability,aspartylglucosaminidase
cell,AGFG1,0.01108739564054105,Intellectual disability,ArfGAP with FG repeats 1
cell,AGRN,0.05259295855983574,Arthrogryposis syndrome,agrin
cell,AGT,0.01566787544443849,Arthrogryposis syndrome,angiotensinogen
cell,AGTR1,0.0831725377037704,Arthrogryposis syndrome,angiotensin II receptor type 1
cell,AGTR2,0.01234519907931798,Intellectual disability,angiotensin II receptor type 2
cell,AHCTF1,0.11087395640541052,Intellectual disability,AT-hook containing transcription factor 1
cell,AHCTF1,0.11087395640541052,Intellectual disability,AT-hook containing transcription factor 1
cell,AHI1,0.11088925297288636,Intellectual disability,Abelson helper integration site 1
cell,AHI1,0.11087395640541052,Intellectual disability,Abelson helper integration site 1
cell,AHR,0.04385236664528849,Arthrogryposis syndrome,aryl hydrocarbon receptor
cell,AIF1,0.02184627585469571,Arthrogryposis syndrome,allograft inflammatory factor 1
cell,AKAP10,0.03182821708544652,Arthrogryposis syndrome,A-kinase anchoring protein 10
cell,AKAP6,0.11087395640541052,Intellectual disability,A-kinase anchoring protein 6
cell,AKAP6,0.11087395640541052,Intellectual disability,A-kinase anchoring protein 6
cell,AKT1,0.03610882413365879,Arthrogryposis syndrome,AKT serine/threonine kinase 1
cell,AKT3,0.03104470779351495,Intellectual disability,AKT serine/threonine kinase 3
cell,AKTIP,0.03104470779351495,Intellectual disability,AKT interacting protein
cell,ALB,0.02906565589107664,Arthrogryposis syndrome,albumin
cell,ALDH18A1,0.3326218692162316,Intellectual disability,aldehyde dehydrogenase 18 family member A1
cell,ALDH18A1,0.3326218692162316,Intellectual disability,aldehyde dehydrogenase 18 family member A1
cell,ALDH1A2,0.02919680852009144,Arthrogryposis syndrome,aldehyde dehydrogenase 1 family member A2
cell,ALDH1A3,0.04967153246962393,Intellectual disability,aldehyde dehydrogenase 1 family member A3
cell,ALDH2,0.08263263231297108,Arthrogryposis syndrome,aldehyde dehydrogenase 2 family member
cell,ALDH4A1,0.13859244550676317,Intellectual disability,aldehyde dehydrogenase 4 family member A1
cell,ALDH4A1,0.13859244550676317,Intellectual disability,aldehyde dehydrogenase 4 family member A1
cell,ALDH5A1,0.30165415722577593,Intellectual disability,aldehyde dehydrogenase 5 family member A1
cell,ALDH5A1,0.3005916151435574,Intellectual disability,aldehyde dehydrogenase 5 family member A1
cell,ALDH5A1,0.3326218692162316,Arthrogryposis syndrome,aldehyde dehydrogenase 5 family member A1
cell,ALDH7A1,0.11087395640541052,Intellectual disability,aldehyde dehydrogenase 7 family member A1
cell,ALDH7A1,0.11087395640541052,Intellectual disability,aldehyde dehydrogenase 7 family member A1
cell,ALG10B,0.02530902391959352,Abnormal pattern of respiration,"ALG10 alpha-1,2-glucosyltransferase B"
cell,ALG13,0.3400134663099256,Intellectual disability,ALG13 UDP-N-acetylglucosaminyltransferase subunit
cell,ALG13,0.3400134663099256,Intellectual disability,ALG13 UDP-N-acetylglucosaminyltransferase subunit
cell,ALG3,0.30069016977147334,Intellectual disability,"ALG3 alpha-1,3- mannosyltransferase"
cell,ALG3,0.28827228665406734,Intellectual disability,"ALG3 alpha-1,3- mannosyltransferase"
cell,ALK,0.01372061756929352,Arthrogryposis syndrome,ALK receptor tyrosine kinase
cell,ALMS1,0.42501683288740705,Intellectual disability,ALMS1 centrosome and basal body associated protein
cell,ALMS1,0.42501683288740705,Intellectual disability,ALMS1 centrosome and basal body associated protein
cell,ALOX12,0.07391597093694036,Arthrogryposis syndrome,"arachidonate 12-lipoxygenase, 12S type"
cell,ALOX12B,0.04287126314342541,Intellectual disability,"arachidonate 12-lipoxygenase, 12R type"
cell,ALOXE3,0.0317247347261348,Intellectual disability,arachidonate lipoxygenase 3
cell,ALPL,0.06508527095353239,Arthrogryposis syndrome,"alkaline phosphatase, biomineralization associated"
cell,ALS2,0.03192430784766454,Arthrogryposis syndrome,alsin Rho guanine nucleotide exchange factor ALS2
cell,ALX1,0.03504356182120342,Arthrogryposis syndrome,ALX homeobox 1
cell,ALX4,0.03451875842755115,Arthrogryposis syndrome,ALX homeobox 4
cell,AMBN,0.04895454755153559,Arthrogryposis syndrome,ameloblastin
cell,AMELX,0.08503614108241449,Arthrogryposis syndrome,amelogenin X-linked
cell,AMFR,0.01293529491396456,Arthrogryposis syndrome,autocrine motility factor receptor
cell,AMIGO1,0.05220685027276097,Intellectual disability,adhesion molecule with Ig like domain 1
cell,AMIGO2,0.0413929437246866,Intellectual disability,adhesion molecule with Ig like domain 2
cell,AMPD2,0.11087395640541052,Intellectual disability,adenosine monophosphate deaminase 2
cell,AMPD2,0.11087395640541052,Intellectual disability,adenosine monophosphate deaminase 2
cell,AMTN,0.04600530031115169,Arthrogryposis syndrome,amelotin
cell,ANAPC4,0.25510259725452505,Abnormal pattern of respiration,anaphase promoting complex subunit 4
cell,ANG,0.01633604554348829,Arthrogryposis syndrome,angiogenin
cell,ANK1,0.04424979600139935,Arthrogryposis syndrome,ankyrin 1
cell,ANK2,0.13859244550676317,Intellectual disability,ankyrin 2
cell,ANK2,0.13859244550676317,Intellectual disability,ankyrin 2
cell,ANK3,0.1407996585277968,Intellectual disability,ankyrin 3
cell,ANK3,0.2194380387190417,Intellectual disability,ankyrin 3
cell,ANK3,0.05203150516392722,Arthrogryposis syndrome,ankyrin 3
cell,ANKH,0.11161311611477992,Intellectual disability,ANKH inorganic pyrophosphate transport regulator
cell,ANKH,0.11087395640541052,Intellectual disability,ANKH inorganic pyrophosphate transport regulator
cell,ANKH,0.04736165837784453,Arthrogryposis syndrome,ANKH inorganic pyrophosphate transport regulator
cell,ANKLE2,0.3400134663099256,Intellectual disability,ankyrin repeat and LEM domain containing 2
cell,ANKLE2,0.3400134663099256,Intellectual disability,ankyrin repeat and LEM domain containing 2
cell,ANKRD11,0.5389469697101814,Intellectual disability,ankyrin repeat domain 11
cell,ANKRD11,0.5389469697101814,Intellectual disability,ankyrin repeat domain 11
cell,ANKRD17,0.26609749537298527,Intellectual disability,ankyrin repeat domain 17
cell,ANKRD17,0.26609749537298527,Intellectual disability,ankyrin repeat domain 17
cell,ANLN,0.01112846006883935,Arthrogryposis syndrome,anillin actin binding protein
cell,ANO1,0.05079669780499735,Arthrogryposis syndrome,anoctamin 1
cell,ANO5,0.03118514813829514,Arthrogryposis syndrome,anoctamin 5
cell,ANO8,0.0413929437246866,Intellectual disability,anoctamin 8
cell,ANTXR1,0.03295173984368801,Arthrogryposis syndrome,ANTXR cell adhesion molecule 1
cell,ANXA5,0.01001775108832604,Arthrogryposis syndrome,annexin A5
cell,AP2A1,0.03547966604973137,Intellectual disability,adaptor related protein complex 2 subunit alpha 1
cell,AP2B1,0.04967153246962393,Intellectual disability,adaptor related protein complex 2 subunit beta 1
cell,AP2B1,0.04538071035673453,Arthrogryposis syndrome,adaptor related protein complex 2 subunit beta 1
cell,AP2M1,0.3400134663099256,Intellectual disability,adaptor related protein complex 2 subunit mu 1
cell,AP2M1,0.3400134663099256,Intellectual disability,adaptor related protein complex 2 subunit mu 1
cell,AP3B1,0.1182655534991046,Intellectual disability,adaptor related protein complex 3 subunit beta 1
cell,AP3B1,0.1182655534991046,Intellectual disability,adaptor related protein complex 3 subunit beta 1
cell,AP3B2,0.282622334625575,Intellectual disability,adaptor related protein complex 3 subunit beta 2
cell,AP3B2,0.26609749537298527,Intellectual disability,adaptor related protein complex 3 subunit beta 2
cell,AP3D1,0.04967153246962393,Intellectual disability,adaptor related protein complex 3 subunit delta 1
cell,AP3S2,0.0343191853060214,Intellectual disability,adaptor related protein complex 3 subunit sigma 2
cell,AP4B1,0.11087395640541052,Intellectual disability,adaptor related protein complex 4 subunit beta 1
cell,AP4B1,0.11087395640541052,Intellectual disability,adaptor related protein complex 4 subunit beta 1
cell,AP4M1,0.48404694856621366,Intellectual disability,adaptor related protein complex 4 subunit mu 1
cell,AP4M1,0.48404694856621366,Intellectual disability,adaptor related protein complex 4 subunit mu 1
cell,AP4S1,0.42501683288740705,Intellectual disability,adaptor related protein complex 4 subunit sigma 1
cell,AP4S1,0.42501683288740705,Intellectual disability,adaptor related protein complex 4 subunit sigma 1
cell,APC2,0.04032855374319465,Intellectual disability,APC regulator of WNT signaling pathway 2
cell,APLN,0.01820138462819522,Arthrogryposis syndrome,apelin
cell,APOBEC2,0.06110571720714413,Arthrogryposis syndrome,apolipoprotein B mRNA editing enzyme catalytic subunit 2
cell,APOBEC2,0.03108905737607711,IHPRF,apolipoprotein B mRNA editing enzyme catalytic subunit 2
cell,APOE,0.05309014612545741,Intellectual disability,apolipoprotein E
cell,APOE,0.08104366620616324,Arthrogryposis syndrome,apolipoprotein E
cell,APOL1,0.03825151495986664,Arthrogryposis syndrome,apolipoprotein L1
cell,APP,0.08139140439303212,Arthrogryposis syndrome,amyloid beta precursor protein
cell,AQP3,0.01034823593117165,Arthrogryposis syndrome,aquaporin 3 (Gill blood group)
cell,AQP4,0.25870589827929125,Intellectual disability,aquaporin 4
cell,AQP4,0.25870589827929125,Intellectual disability,aquaporin 4
cell,AQP4,0.01589193375144217,Arthrogryposis syndrome,aquaporin 4
cell,AR,0.05530107342403062,Intellectual disability,androgen receptor
cell,AR,0.0413668164821818,Arthrogryposis syndrome,androgen receptor
cell,AREL1,0.0413929437246866,Intellectual disability,apoptosis resistant E3 ubiquitin protein ligase 1
cell,ARF1,0.01108739564054105,Arthrogryposis syndrome,ADP ribosylation factor 1
cell,ARFGEF1,0.5235417635861054,Intellectual disability,ADP ribosylation factor guanine nucleotide exchange factor 1
cell,ARFGEF1,0.5235417635861054,Intellectual disability,ADP ribosylation factor guanine nucleotide exchange factor 1
cell,ARFGEF2,0.11179790604212228,Intellectual disability,ADP ribosylation factor guanine nucleotide exchange factor 2
cell,ARFGEF2,0.11087395640541052,Intellectual disability,ADP ribosylation factor guanine nucleotide exchange factor 2
cell,ARHGAP11B,0.02771335604781534,Arthrogryposis syndrome,Rho GTPase activating protein 11B
cell,ARHGEF5,0.04967153246962393,Intellectual disability,Rho guanine nucleotide exchange factor 5
cell,ARHGEF6,0.16459926343288608,Intellectual disability,Rac/Cdc42 guanine nucleotide exchange factor 6
cell,ARHGEF9,0.14057380417215615,Intellectual disability,Cdc42 guanine nucleotide exchange factor 9
cell,ARHGEF9,0.13859244550676317,Intellectual disability,Cdc42 guanine nucleotide exchange factor 9
cell,ARID1A,0.6602980720200937,Intellectual disability,AT-rich interaction domain 1A
cell,ARID1A,0.1478319418738807,Intellectual disability,AT-rich interaction domain 1A
cell,ARID1B,0.5279679228862818,Intellectual disability,AT-rich interaction domain 1B
cell,ARID1B,0.5378242087570273,Intellectual disability,AT-rich interaction domain 1B
cell,ARID2,0.11087395640541052,Intellectual disability,AT-rich interaction domain 2
cell,ARID2,0.11087395640541052,Intellectual disability,AT-rich interaction domain 2
cell,ARL6IP1,0.0333434944896538,Intellectual disability,ADP ribosylation factor like GTPase 6 interacting protein 1
cell,ARSA,0.15920699383465134,Intellectual disability,arylsulfatase A
cell,ARSA,0.15091177399625322,Intellectual disability,arylsulfatase A
cell,ARSB,0.03217562214885014,Arthrogryposis syndrome,arylsulfatase B
cell,ARX,0.44076650238724857,Intellectual disability,aristaless related homeobox
cell,ARX,0.42660807948396623,Intellectual disability,aristaless related homeobox
cell,ARX,0.04168491180988751,Arthrogryposis syndrome,aristaless related homeobox
cell,ASAH1,0.3860397347652106,Arthrogryposis syndrome,N-acylsphingosine amidohydrolase 1
cell,ASCC1,0.684307231756551,Arthrogryposis syndrome,activating signal cointegrator 1 complex subunit 1
cell,ASH1L,0.7588563387378772,Intellectual disability,ASH1 like histone lysine methyltransferase
cell,ASH1L,0.2212859379924652,Intellectual disability,ASH1 like histone lysine methyltransferase
cell,ASH2L,0.26609749537298527,Intellectual disability,"ASH2 like, histone lysine methyltransferase complex subunit"
cell,ASH2L,0.26609749537298527,Intellectual disability,"ASH2 like, histone lysine methyltransferase complex subunit"
cell,ASIC3,0.02175388089102453,Arthrogryposis syndrome,acid sensing ion channel subunit 3
cell,ASIC4,0.04073526787293851,Intellectual disability,acid sensing ion channel subunit family member 4
cell,ASMTL,0.01626151360612688,Arthrogryposis syndrome,acetylserotonin O-methyltransferase like
cell,ASPA,0.11954614769558708,Intellectual disability,aspartoacylase
cell,ASPA,0.11087395640541052,Intellectual disability,aspartoacylase
cell,ASPM,0.3160052321102801,Intellectual disability,assembly factor for spindle microtubules
cell,ASPM,0.31545086232825303,Intellectual disability,assembly factor for spindle microtubules
cell,ASPM,0.4721382643597066,Arthrogryposis syndrome,assembly factor for spindle microtubules
cell,ASPM,0.03109644897317081,IHPRF,assembly factor for spindle microtubules
cell,ASXL1,0.11087395640541052,Intellectual disability,ASXL transcriptional regulator 1
cell,ASXL1,0.3677319554112783,Intellectual disability,ASXL transcriptional regulator 1
cell,ASXL1,0.01203967973277863,Arthrogryposis syndrome,ASXL transcriptional regulator 1
cell,ASXL3,0.4715860316040501,Intellectual disability,ASXL transcriptional regulator 3
cell,ASXL3,0.4715860316040501,Intellectual disability,ASXL transcriptional regulator 3
cell,ATCAY,0.0350731282095782,Intellectual disability,ATCAY kinesin light chain interacting caytaxin
cell,ATF2,0.04420914221738403,Arthrogryposis syndrome,activating transcription factor 2
cell,ATP1A2,0.3233823728491141,Arthrogryposis syndrome,ATPase Na+/K+ transporting subunit alpha 2
cell,ATP1A3,0.0557412528780424,Intellectual disability,ATPase Na+/K+ transporting subunit alpha 3
cell,ATP1A3,0.04066856720950459,Arthrogryposis syndrome,ATPase Na+/K+ transporting subunit alpha 3
cell,ATP1B1,0.01042009868069367,Arthrogryposis syndrome,ATPase Na+/K+ transporting subunit beta 1
cell,ATP1B2,0.05472831237931395,Abnormal pattern of respiration,ATPase Na+/K+ transporting subunit beta 2
cell,ATP1B3,0.04967153246962393,Intellectual disability,ATPase Na+/K+ transporting subunit beta 3
cell,ATP2A1,0.0344522340537079,Arthrogryposis syndrome,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
cell,ATP2A2,0.02402269055450561,Arthrogryposis syndrome,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
cell,ATP2B1,0.02735381694470583,Arthrogryposis syndrome,ATPase plasma membrane Ca2+ transporting 1
cell,ATP2B2,0.032567376794815923,Intellectual disability,ATPase plasma membrane Ca2+ transporting 2
cell,ATP2B3,0.34525457062417303,Intellectual disability,ATPase plasma membrane Ca2+ transporting 3
cell,ATP2B3,0.3326218692162316,Intellectual disability,ATPase plasma membrane Ca2+ transporting 3
cell,ATP2B3,0.3335458188529434,Arthrogryposis syndrome,ATPase plasma membrane Ca2+ transporting 3
cell,ATP2B4,0.01182655534991045,Arthrogryposis syndrome,ATPase plasma membrane Ca2+ transporting 4
cell,ATP6V1G2,0.04967153246962393,Intellectual disability,ATPase H+ transporting V1 subunit G2
cell,ATP7A,0.04335418082021343,Arthrogryposis syndrome,ATPase copper transporting alpha
cell,ATP8A1,0.1546529033108993,Abnormal pattern of respiration,ATPase phospholipid transporting 8A1
cell,ATP8A2,0.11087395640541052,Intellectual disability,ATPase phospholipid transporting 8A2
cell,ATP9A,0.04934630219750139,Intellectual disability,ATPase phospholipid transporting 9A (putative)
cell,ATRX,0.4018523492280704,Intellectual disability,ATRX chromatin remodeler
cell,ATRX,0.4597881375489928,Intellectual disability,ATRX chromatin remodeler
cell,AUTS2,0.5572101170778114,Intellectual disability,activator of transcription and developmental regulator AUTS2
cell,AUTS2,0.30141290370952345,Intellectual disability,activator of transcription and developmental regulator AUTS2
cell,AVPR2,0.25870589827929125,Abnormal pattern of respiration,arginine vasopressin receptor 2
cell,AXIN1,0.0547526395051141,Arthrogryposis syndrome,axin 1
cell,AXIN2,0.03071208592429872,Arthrogryposis syndrome,axin 2
cell,AXL,0.06314949380355053,Arthrogryposis syndrome,AXL receptor tyrosine kinase
cell,B3GALT2,0.03054947078823745,Intellectual disability,"beta-1,3-galactosyltransferase 2"
cell,B4GAT1,0.04370281781646598,Intellectual disability,"beta-1,4-glucuronyltransferase 1"
cell,B4GAT1,0.03868207549057431,Arthrogryposis syndrome,"beta-1,4-glucuronyltransferase 1"
cell,B9D1,0.1182655534991046,Intellectual disability,B9 domain containing 1
cell,B9D1,0.1182655534991046,Intellectual disability,B9 domain containing 1
cell,BACE1,0.04383032286633221,Intellectual disability,beta-secretase 1
cell,BACE1,0.01281990387044634,Arthrogryposis syndrome,beta-secretase 1
cell,BARX1,0.03689885269172063,Arthrogryposis syndrome,BARX homeobox 1
cell,BARX2,0.03302565581462495,Arthrogryposis syndrome,BARX homeobox 2
cell,BAX,0.02764458038260064,Arthrogryposis syndrome,"BCL2 associated X, apoptosis regulator"
cell,BAZ2A,0.0196881525406729,Abnormal pattern of respiration,bromodomain adjacent to zinc finger domain 2A
cell,BBC3,0.03547966604973137,Intellectual disability,BCL2 binding component 3
cell,BBS10,0.3400134663099256,Intellectual disability,Bardet-Biedl syndrome 10
cell,BBS10,0.3400134663099256,Intellectual disability,Bardet-Biedl syndrome 10
cell,BBS4,0.26609749537298527,Intellectual disability,Bardet-Biedl syndrome 4
cell,BBS4,0.26609749537298527,Intellectual disability,Bardet-Biedl syndrome 4
cell,BBS9,0.26609749537298527,Intellectual disability,Bardet-Biedl syndrome 9
cell,BBS9,0.26609749537298527,Intellectual disability,Bardet-Biedl syndrome 9
cell,BBS9,0.04354205057967814,Arthrogryposis syndrome,Bardet-Biedl syndrome 9
cell,BCHE,0.01626151360612688,Intellectual disability,butyrylcholinesterase
cell,BCKDHA,0.11087395640541052,Intellectual disability,branched chain keto acid dehydrogenase E1 subunit alpha
cell,BCKDHA,0.11087395640541052,Intellectual disability,branched chain keto acid dehydrogenase E1 subunit alpha
cell,BCKDK,0.25870589827929125,Intellectual disability,branched chain keto acid dehydrogenase kinase
cell,BCKDK,0.25870589827929125,Intellectual disability,branched chain keto acid dehydrogenase kinase
cell,BCKDK,0.0236472962477991,Abnormal pattern of respiration,branched chain keto acid dehydrogenase kinase
cell,BCL11A,0.36138086657382984,Intellectual disability,BAF chromatin remodeling complex subunit BCL11A
cell,BCL11A,0.45992159694096224,Intellectual disability,BAF chromatin remodeling complex subunit BCL11A
cell,BCL11B,0.03230127929944294,Intellectual disability,BAF chromatin remodeling complex subunit BCL11B
cell,BCL11B,0.260842499217244,Abnormal pattern of respiration,BAF chromatin remodeling complex subunit BCL11B
cell,BCL11B,0.06917836784416548,Arthrogryposis syndrome,BAF chromatin remodeling complex subunit BCL11B
cell,BCL2,0.03854551283616837,Arthrogryposis syndrome,BCL2 apoptosis regulator
cell,BCL6,0.04340510071130331,Arthrogryposis syndrome,BCL6 transcription repressor
cell,BCLAF1,0.03547966604973137,Intellectual disability,BCL2 associated transcription factor 1
cell,BCOR,0.1182655534991046,Intellectual disability,BCL6 corepressor
cell,BCOR,0.1182655534991046,Intellectual disability,BCL6 corepressor
cell,BCORL1,0.26609749537298527,Intellectual disability,BCL6 corepressor like 1
cell,BCORL1,0.26609749537298527,Intellectual disability,BCL6 corepressor like 1
cell,BCORL1,0.03264868436284656,Arthrogryposis syndrome,BCL6 corepressor like 1
cell,BCR,0.01247845314914597,Arthrogryposis syndrome,BCR activator of RhoGEF and GTPase
cell,BCS1L,0.3326218692162316,Intellectual disability,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
cell,BCS1L,0.4619748183558772,Intellectual disability,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
cell,BDNF,0.02436963158163518,Intellectual disability,brain derived neurotrophic factor
cell,BDNF,0.31790552953123513,Abnormal pattern of respiration,brain derived neurotrophic factor
cell,BDNF,0.06346113403512306,Arthrogryposis syndrome,brain derived neurotrophic factor
cell,BEX4,0.03104470779351495,Intellectual disability,brain expressed X-linked 4
cell,BGN,0.04514171538403842,Arthrogryposis syndrome,biglycan
cell,BICD2,0.03254520200353485,Intellectual disability,BICD cargo adaptor 2
cell,BICD2,0.268217446483885,Arthrogryposis syndrome,BICD cargo adaptor 2
cell,BICRA,0.3326218692162316,Intellectual disability,BRD4 interacting chromatin remodeling complex associated protein
cell,BICRA,0.3326218692162316,Intellectual disability,BRD4 interacting chromatin remodeling complex associated protein
cell,BIN1,0.03217562214885014,Arthrogryposis syndrome,bridging integrator 1
cell,BIRC2,0.01626151360612688,Arthrogryposis syndrome,baculoviral IAP repeat containing 2
cell,BIRC3,0.01552235389675747,Arthrogryposis syndrome,baculoviral IAP repeat containing 3
cell,BIRC5,0.01153875554736241,Arthrogryposis syndrome,baculoviral IAP repeat containing 5
cell,BMP4,0.03046880691841286,Intellectual disability,bone morphogenetic protein 4
cell,BMP4,0.0307416523126735,Arthrogryposis syndrome,bone morphogenetic protein 4
cell,BMP6,0.03125167251213839,Arthrogryposis syndrome,bone morphogenetic protein 6
cell,BMPR1B,0.06161879916595989,Arthrogryposis syndrome,bone morphogenetic protein receptor type 1B
cell,BNC2,0.0313551548714501,Arthrogryposis syndrome,basonuclin 2
cell,BOD1,0.1182655534991046,Intellectual disability,biorientation of chromosomes in cell division 1
cell,BOD1,0.1182655534991046,Intellectual disability,biorientation of chromosomes in cell division 1
cell,BOLA1,0.0391532898052973,Intellectual disability,bolA family member 1
cell,BPTF,0.41967845720862806,Intellectual disability,bromodomain PHD finger transcription factor
cell,BPTF,0.41967845720862806,Intellectual disability,bromodomain PHD finger transcription factor
