Gene name,Mouse gene,Ensembl_id
FTHL17,Fthl17a,ENSG00000132446
FTMT,Ftmt,ENSG00000181867
RAN,Ran,ENSG00000132341
UCP2,Ucp2,ENSG00000175567
RHO,Rho,ENSG00000163914
ADGRA2,Adgra2,ENSG00000020181
MYOG,Myog,ENSG00000122180
OR4C15,Or4c114,ENSG00000181939
OR4C15,Or4c113,ENSG00000181939
OR4C15,Or4c109,ENSG00000181939
OR4C15,Or4c112,ENSG00000181939
OR2AT4,Or2at4,ENSG00000171561
OR4C15,Or4c118,ENSG00000181939
OR4C15,Or4c122,ENSG00000181939
OR4C15,Or4c110,ENSG00000181939
OR4A16,Or4a76,ENSG00000181961
OR4D1,Or4d1,ENSG00000141194
APPL1,Appl1,ENSG00000157500
HESX1,Hesx1,ENSG00000163666
NKX2-6,Nkx2-6,ENSG00000180053
OPN1SW,Opn1sw,ENSG00000128617
MEN1,Men1,ENSG00000133895
OR7C1,Or7c70,ENSG00000127530
OR7C2,Or7c70,ENSG00000127529
MEF2D,Mef2d,ENSG00000116604
HOXD12,Hoxd12,ENSG00000170178
TCP1,Tcp1,ENSG00000120438
FOXN4,Foxn4,ENSG00000139445
SIX3,Six3,ENSG00000138083
DES,Des,ENSG00000175084
ISL2,Isl2,ENSG00000159556
CTBP2,Ctbp2,ENSG00000175029
FRAT1,Frat1,ENSG00000165879
FRAT2,Frat2,ENSG00000181274
FRAT1,Peg12,ENSG00000165879
HOXB5,Hoxb5,ENSG00000120075
GDF6,Gdf6,ENSG00000156466
NOTCH3,Notch3,ENSG00000074181
PAX3,Pax3,ENSG00000135903
EPB41L4A,Epb41l4a,ENSG00000129595
BAX,Bax,ENSG00000087088
HOXD4,Hoxd4,ENSG00000170166
PBRM1,Pbrm1,ENSG00000163939
NR5A2,Nr5a2,ENSG00000116833
TWSG1,Twsg1,ENSG00000128791
ACHE,Ache,ENSG00000087085
ZP1,Zp1,ENSG00000149506
KLF17,Klf17,ENSG00000171872
GUCY2D,Gucy2e,ENSG00000132518
ND3,mt-Nd3,NA
SOX10,Sox10,ENSG00000100146
MEIS1,Meis1,ENSG00000143995
TLE3,Tle3,ENSG00000140332
L1CAM,L1cam,ENSG00000198910
BMP4,Bmp4,ENSG00000125378
TPST1,Tpst1,ENSG00000169902
CTBP1,Ctbp1,ENSG00000159692
STAT3,Stat3,ENSG00000168610
TBXT,T,ENSG00000164458
BMAL1,Bmal1,ENSG00000133794
ROBO1,Robo1,ENSG00000169855
CDH2,Cdh2,ENSG00000170558
FOXA1,Foxa1,ENSG00000129514
PPARD,Ppard,ENSG00000112033
LHX3,Lhx3,ENSG00000107187
SOX9,Sox9,ENSG00000125398
SOX15,Sox15,ENSG00000129194
SOX15,Sox15,ENSG00000129194
GART,Gart,ENSG00000159131
HOXC9,Hoxc9,ENSG00000180806
CD74,Cd74,ENSG00000019582
ELAVL1,Elavl1,ENSG00000066044
BMP2,Bmp2,ENSG00000125845
FOXB1,Foxb1,ENSG00000171956
ETV4,Etv4,ENSG00000175832
FRZB,Frzb,ENSG00000162998
MEF2C,Mef2c,ENSG00000081189
PITPNM3,Pitpnm3,ENSG00000091622
ZIC1,Zic1,ENSG00000152977
HOXA2,Hoxa2,ENSG00000105996
NME6,Nme6,ENSG00000172113
CASP8,Casp8,ENSG00000064012
EGR2,Egr2,ENSG00000122877
MYO7A,Myo7a,ENSG00000137474
APAF1,Apaf1,ENSG00000120868
LRRK2,Lrrk2,ENSG00000188906
OTX2,Otx2,ENSG00000165588
ETV6,Etv6,ENSG00000139083
JAG2,Jag2,ENSG00000184916
IKZF1,Ikzf1,ENSG00000185811
CEBPD,Cebpd,ENSG00000221869
GRIA2,Gria2,ENSG00000120251
SLIT2,Slit2,ENSG00000145147
MKRN2,Mkrn2,ENSG00000075975
SPNS1,Spns1,ENSG00000169682
TNNT2,Tnnt2,ENSG00000118194
PHC2,Phc2,ENSG00000134686
KRT6A,Gm5478,ENSG00000205420
KRT6B,Gm5478,ENSG00000185479
KRT6C,Gm5478,ENSG00000170465
KRT6A,Gm5414,ENSG00000205420
KRT6B,Gm5414,ENSG00000185479
KRT6C,Gm5414,ENSG00000170465
KRT77,Krt77,ENSG00000189182
KRT74,Krt74,ENSG00000170484
KRT2,Krt2,ENSG00000172867
KRT7,Krt7,ENSG00000135480
KRT75,Krt75,ENSG00000170454
KRT1,Krt1,ENSG00000167768
KRT90P,Krt90,ENSG00000257844
KRT4,Krt4,ENSG00000170477
KRT6A,Krt6b,ENSG00000205420
KRT6B,Krt6b,ENSG00000185479
KRT6C,Krt6b,ENSG00000170465
KRT8,Krt8,ENSG00000170421
KRT73,Krt73,ENSG00000186049
KRT79,Krt79,ENSG00000185640
KRT71,Krt71,ENSG00000139648
KRT72,Krt72,ENSG00000170486
KRT76,Krt76,ENSG00000185069
KRT6A,Krt6a,ENSG00000205420
KRT6B,Krt6a,ENSG00000185479
KRT6C,Krt6a,ENSG00000170465
RBP2,Rbp2,ENSG00000114113
IL17RD,Il17rd,ENSG00000144730
GLRA3,Glra3,ENSG00000145451
GLRA4,Glra4,ENSG00000188828
SEC61A1,Sec61a1,ENSG00000058262
LMNB1,Lmnb1,ENSG00000113368
LMNA,Lmna,ENSG00000160789
NACA,Naca,ENSG00000196531
SRRT,Srrt,ENSG00000087087
ATP6V1E2,Atp6v1e2,ENSG00000250565
ATP6V1E1,Atp6v1e1,ENSG00000131100
CCT2,Cct2,ENSG00000166226
CCT3,Cct3,ENSG00000163468
CCT7,Cct7,ENSG00000135624
DDX19B,Ddx19b,ENSG00000157349
DDX19A,Ddx19a,ENSG00000168872
HDAC1,Hdac1,ENSG00000116478
MCM3,Mcm3,ENSG00000112118
RPL24,Rpl24,ENSG00000114391
RPS5,Rps5,ENSG00000083845
SF3B4,Sf3b4,ENSG00000143368
STIL,Stil,ENSG00000123473
AURKB,Aurkb,ENSG00000178999
AURKC,Aurkc,ENSG00000105146
TERF2,Terf2,ENSG00000132604
U2AF1,U2af1,ENSG00000160201
VPS18,Vps18,ENSG00000104142
CSNK1A1,Csnk1a1,ENSG00000113712
FLOT1,Flot1,ENSG00000137312
INSR,Insr,ENSG00000171105
PTK2B,Ptk2b,ENSG00000120899
INVS,Invs,ENSG00000119509
NEK8,Nek8,ENSG00000160602
CYGB,Cygb,ENSG00000161544
ID3,Id3,ENSG00000117318
UNC45B,Unc45b,ENSG00000141161
SPACA5,Spaca5,ENSG00000171489
SPACA5B,Spaca5,ENSG00000171478
LYZL4,Lyzl4,ENSG00000157093
LYZ,Lyz3,ENSG00000090382
LYZ,Lyz2,ENSG00000090382
SPACA3,Spaca3,ENSG00000141316
LYZL1,Lyzl1,ENSG00000120563
LYZL2,Lyzl1,ENSG00000151033
LYZL6,Lyzl6,ENSG00000275722
LYZ,Lyz1,ENSG00000090382
TBX18,Tbx18,ENSG00000112837
TBX15,Tbx15,ENSG00000092607
CP,Cp,ENSG00000047457
WNT2,Wnt2,ENSG00000105989
APP,App,ENSG00000142192
GDF3,Gdf3,ENSG00000184344
GDF1,Gdf1,ENSG00000130283
PSMB8,Psmb8,ENSG00000204264
LDB2,Ldb2,ENSG00000169744
MAP2K6,Map2k6,ENSG00000108984
EIF4E1B,Eif4e1b,ENSG00000175766
TBX2,Tbx2,ENSG00000121068
PBX4,Pbx4,ENSG00000105717
GLI2,Gli2,ENSG00000074047
MMP21,Mmp21,ENSG00000154485
HHEX,Hhex,ENSG00000152804
TRADD,Tradd,ENSG00000102871
ADH5,Adh5,ENSG00000197894
ZBTB22,Zbtb22,ENSG00000236104
ARNT2,Arnt2,ENSG00000172379
RAX,Rax,ENSG00000134438
KRT5,Krt5,ENSG00000186081
HOXB6,Hoxb6,ENSG00000108511
TBX5,Tbx5,ENSG00000089225
FLI1,Fli1,ENSG00000151702
OPRM1,Oprm1,ENSG00000112038
PSMB9,Psmb9,ENSG00000240065
SLC39A7,Slc39a7,ENSG00000112473
TNNC2,Tnnc2,ENSG00000101470
PAX2,Pax2,ENSG00000075891
POU3F2,Pou3f2,ENSG00000184486
PAX9,Pax9,ENSG00000198807
NCAM1,Ncam1,ENSG00000149294
EVX1,Evx1,ENSG00000106038
HOXA1,Hoxa1,ENSG00000105991
PPT2,Ppt2,ENSG00000221988
UGDH,Ugdh,ENSG00000109814
KLF3,Klf3,ENSG00000109787
HSF2,Hsf2,ENSG00000025156
CKM,Ckm,ENSG00000104879
KLF1,Klf1,ENSG00000105610
FGF8,Fgf8,ENSG00000107831
GUCA1B,Guca1b,ENSG00000112599
CXCR4,Cxcr4,ENSG00000121966
MEIS2,Meis2,ENSG00000134138
VEGFA,Vegfa,ENSG00000112715
ELAVL3,Elavl3,ENSG00000196361
HOXC4,Hoxc4,ENSG00000198353
HOXB2,Hoxb2,ENSG00000173917
FABP2,Fabp2,ENSG00000145384
PITX2,Pitx2,ENSG00000164093
NUP93,Nup93,ENSG00000102900
EPHB3,Ephb3,ENSG00000182580
HLA-DRB1,H2-Eb2,ENSG00000196126
HLA-DRB3,H2-Eb2,NA
HLA-DRB4,H2-Eb2,NA
HLA-DRB5,H2-Eb2,ENSG00000198502
HLA-DRB1,H2-Eb1,ENSG00000196126
HLA-DRB3,H2-Eb1,NA
HLA-DRB4,H2-Eb1,NA
HLA-DRB5,H2-Eb1,ENSG00000198502
HLA-DOB,H2-Ob,ENSG00000241106
HLA-DQB1,H2-Ab1,ENSG00000179344
HLA-DQB2,H2-Ab1,ENSG00000232629
FOXA3,Foxa3,ENSG00000170608
SPON2,Spon2,ENSG00000159674
FOXC1,Foxc1,ENSG00000054598
NR1D2,Nr1d2,ENSG00000174738
LHX5,Lhx5,ENSG00000089116
MESP2,Mesp2,ENSG00000188095
MESP1,Mesp1,ENSG00000166823
DHH,Dhh,ENSG00000139549
DLX5,Dlx5,ENSG00000105880
WNT8B,Wnt8b,ENSG00000075290
GSC,Gsc,ENSG00000133937
HOXD10,Hoxd10,ENSG00000128710
IGF1,Igf1,ENSG00000017427
MYL11,Mylpf,ENSG00000180209
TYRO3,Tyro3,ENSG00000092445
NEUROD6,Neurod6,ENSG00000164600
NOS1,Nos1,ENSG00000089250
CHRNA1,Chrna1,ENSG00000138435
SHH,Shh,ENSG00000164690
HOXA13,Hoxa13,ENSG00000106031
NME7,Nme7,ENSG00000143156
MAPK12,Mapk12,ENSG00000188130
SNAI1,Snai1,ENSG00000124216
WNT4,Wnt4,ENSG00000162552
POU3F3,Pou3f3,ENSG00000198914
EN1,En1,ENSG00000163064
ACAT2,Acat2,ENSG00000120437
ACAT2,Acat3,ENSG00000120437
OPN1LW,Opn1mw,ENSG00000102076
OPN1MW,Opn1mw,ENSG00000268221
OPN1MW2,Opn1mw,ENSG00000166160
OPN1MW3,Opn1mw,ENSG00000269433
GATA1,Gata1,ENSG00000102145
APOA1,Apoa1,ENSG00000118137
CXCL14,Cxcl14,ENSG00000145824
CDK5,Cdk5,ENSG00000164885
PSMB5,Psmb5,ENSG00000100804
TNNT3,Tnnt3,ENSG00000130595
DNMT1,Dnmt1,ENSG00000130816
KIT,Kit,ENSG00000157404
CFB,Cfb,ENSG00000243649
INHBB,Inhbb,ENSG00000163083
GDF5,Gdf5,ENSG00000125965
CPSF4,Cpsf4,ENSG00000160917
CCL27,Ccl27a,ENSG00000213927
CCL27,Ccl27b,ENSG00000213927
CCL27,Ccl27al,ENSG00000213927
NODAL,Nodal,ENSG00000156574
TBX20,Tbx20,ENSG00000164532
TEK,Tek,ENSG00000120156
HES7,Hes7,ENSG00000179111
HOXC8,Hoxc8,ENSG00000037965
CSNK2B,Csnk2b,ENSG00000204435
CYP19A1,Cyp19a1,ENSG00000137869
RHEBL1,Rhebl1,ENSG00000167550
RHEB,Rheb,ENSG00000106615
CRY2,Cry2,ENSG00000121671
FGF3,Fgf3,ENSG00000186895
DLX1,Dlx1,ENSG00000144355
FZD7,Fzd7,ENSG00000155760
DHFR,Dhfr,ENSG00000228716
DHFR2,Dhfr,ENSG00000178700
DHFRP1,Dhfr,ENSG00000188985
MMUT,Mmut,ENSG00000146085
UCP1,Ucp1,ENSG00000109424
NOTCH2,Notch2,ENSG00000134250
F7,F7,ENSG00000057593
SFRP5,Sfrp5,ENSG00000120057
ND4,mt-Nd4,NA
CYTB,mt-Cytb,NA
ATP1B2,Atp1b2,ENSG00000129244
PSMA6,Psma6,ENSG00000100902
CCNA2,Ccna2,ENSG00000145386
MTF1,Mtf1,ENSG00000188786
ATP6AP1,Atp6ap1,ENSG00000071553
RPL36A,Rpl36al,ENSG00000241343
RPL36AL,Rpl36al,ENSG00000165502
RPL36A,Rpl36a,ENSG00000241343
SCARB2,Scarb2,ENSG00000138760
PPP1R10,Ppp1r10,ENSG00000204569
SLC25A5,Slc25a5,ENSG00000005022
SNRPC,Snrpc,ENSG00000124562
TIMM23,Timm23,ENSG00000265354
TIMM23B,Timm23,ENSG00000204152
UXS1,Uxs1,ENSG00000115652
KIF11,Kif11,ENSG00000138160
IGF1R,Igf1r,ENSG00000140443
VANGL2,Vangl2,ENSG00000162738
CRYAA,Cryaa,ENSG00000160202
GBX2,Gbx2,ENSG00000168505
GPI,Gpi1,ENSG00000105220
MAB21L2,Mab21l2,ENSG00000181541
MAB21L1,Mab21l1,ENSG00000180660
PTGS1,Ptgs1,ENSG00000095303
AHR,Ahr,ENSG00000106546
ODC1,Odc1,ENSG00000115758
EGR1,Egr1,ENSG00000120738
DLL3,Dll3,ENSG00000090932
DNMT3L,Dnmt3l,ENSG00000142182
SLIT3,Slit3,ENSG00000184347
SOX3,Sox3,ENSG00000134595
HOXB1,Hoxb1,ENSG00000120094
CLDN7,Cldn7,ENSG00000181885
SKI,Ski,ENSG00000157933
TBX4,Tbx4,ENSG00000121075
DVL3,Dvl3,ENSG00000161202
MAX,Max,ENSG00000125952
POU3F1,Pou3f1,ENSG00000185668
FABP7,Fabp7,ENSG00000164434
ACTC1,Actc1,ENSG00000159251
PSEN1,Psen1,ENSG00000080815
DUXB,Duxbl1,ENSG00000282757
ALAS2,Alas2,ENSG00000158578
NOTCH1,Notch1,ENSG00000148400
CD81,Cd81,ENSG00000110651
COL11A2,Col11a2,ENSG00000204248
SMAD4,Smad4,ENSG00000141646
HOXD9,Hoxd9,ENSG00000128709
SEMA3D,Sema3d,ENSG00000153993
NME1-NME2,Nme2,ENSG00000011052
NME2,Nme2,ENSG00000243678
NME2P1,Nme2,ENSG00000123009
NME1,Nme1,ENSG00000239672
HOXC6,Hoxc6,ENSG00000197757
GLRB,Glrb,ENSG00000109738
SMAD1,Smad1,ENSG00000170365
NGB,Ngb,ENSG00000165553
ND6,mt-Nd6,NA
PKNOX1,Pknox1,ENSG00000160199
CAT,Cat,ENSG00000121691
FECH,Fech,ENSG00000066926
CSE1L,Cse1l,ENSG00000124207
RET,Ret,ENSG00000165731
RAG1,Rag1,ENSG00000166349
SOD1,Sod1,ENSG00000142168
CCNE1,Ccne1,ENSG00000105173
FEZF2,Fezf2,ENSG00000153266
HOXD1,Hoxd1,ENSG00000128645
APOE,Apoe,ENSG00000130203
HOXC11,Hoxc11,ENSG00000123388
PCMT1,Pcmt1,ENSG00000120265
OR6C2,Or6c2,ENSG00000179695
OR13A1,Or13a1,ENSG00000256574
OR1J2,Or1j19,ENSG00000197233
OR6C74,Or6c74,ENSG00000197706
OR2AP1,Or6c8b,ENSG00000179615
OR6C1,Or6c1,ENSG00000205330
OR12D1,Or12d12,ENSG00000251608
OR12D2,Or12d12,ENSG00000280236
OR1R1P,Or1r1,ENSG00000180042
OR6C68,Or6c35,ENSG00000205327
OR6C65,Or6c65,ENSG00000205328
OR6C68,Or6c209,ENSG00000205327
OR12D1,Or12d13,ENSG00000251608
OR12D2,Or12d13,ENSG00000280236
OR6C75,Or6c75,ENSG00000187857
OR6N2,Or6n2,ENSG00000188340
OR6C70,Or6c70,ENSG00000184954
OR6C6,Or6c6c,ENSG00000188324
OR6C6,Or6c6,ENSG00000188324
OR6C76,Or6c76b,ENSG00000185821
OR6C70,Or6c217,ENSG00000184954
OR1J1,Or1j1,ENSG00000136834
OR6C76,Or6c76,ENSG00000185821
OR6C3,Or6c3b,ENSG00000205329
OR6C2,Or6c2b,ENSG00000179695
OR1L8,Or1l8,ENSG00000171496
OR6C65,Or6c69c,ENSG00000205328
OR12D1,Or12d2,ENSG00000251608
OR12D2,Or12d2,ENSG00000280236
OR6C1,Or6c1b,ENSG00000205330
OR6C68,Or6c68,ENSG00000205327
OR2AP1,Or6c8,ENSG00000179615
OR6C3,Or6c3,ENSG00000205329
OR6C76,Or6c66,ENSG00000185821
OR4A16,Or4a80,ENSG00000181961
OR4A5,Or4a80,ENSG00000221840
OR4A8,Or4a80,ENSG00000225997
OR6C76,Or6c66b,ENSG00000185821
OR6C70,Or6c69b,ENSG00000184954
PTCH2,Ptch2,ENSG00000117425
DBH,Dbh,ENSG00000123454
HBA1,Hba-a2,ENSG00000206172
HBA2,Hba-a2,ENSG00000188536
HBZ,Hba-x,ENSG00000130656
FZD8,Fzd8,ENSG00000177283
SMN1,Smn1,ENSG00000172062
SMN2,Smn1,ENSG00000205571
RPA2,Rpa2,ENSG00000117748
WNT8A,Wnt8a,ENSG00000061492
INS,Ins2,ENSG00000254647
INS,Ins1,ENSG00000254647
MTNR1B,Mtnr1b,ENSG00000134640
PC,Pcx,ENSG00000173599
CDX4,Cdx4,ENSG00000131264
SLC34A2,Slc34a2,ENSG00000157765
NME3,Nme3,ENSG00000103024
PYY,Pyy,ENSG00000131096
PYY3,Pyy,ENSG00000181977
OPRD1,Oprd1,ENSG00000116329
NCAM2,Ncam2,ENSG00000154654
MYL1,Myl1,ENSG00000168530
TNC,Tnc,ENSG00000041982
WNT10A,Wnt10a,ENSG00000135925
COPG2,Copg2,ENSG00000158623
CDC25B,Cdc25b,ENSG00000101224
CDC25A,Cdc25a,ENSG00000164045
CDC25C,Cdc25c,ENSG00000158402
NKX2-1,Nkx2-1,ENSG00000136352
DMD,Dmd,ENSG00000198947
PBX2,Pbx2,ENSG00000204304
HOXA10,Hoxa10,ENSG00000253293
ZNF703,Zfp703,ENSG00000183779
XBP1,Xbp1,ENSG00000100219
MYOD1,Myod1,ENSG00000129152
JAK1,Jak1,ENSG00000162434
SPON1,Spon1,ENSG00000262655
DLX4,Dlx4,ENSG00000108813
RGL2,Rgl2,ENSG00000237441
OR2A25,Or2a25,ENSG00000221933
OR1E1,Or1e1,ENSG00000180016
OR1E2,Or1e1,ENSG00000127780
OR1E3,Or1e1,ENSG00000142163
OR1E2,Or1e16,ENSG00000127780
OR1E3,Or1e16,ENSG00000142163
OR1E1,Or1e21,ENSG00000180016
OR1E2,Or1e21,ENSG00000127780
OR1E3,Or1e21,ENSG00000142163
OR1N1,Or1n1,ENSG00000171505
OR7A10,Or7a36,ENSG00000127515
OR7A5,Or7a36,ENSG00000188269
OR7C1,Or7a36,ENSG00000127530
OR1E2,Or1e1c,ENSG00000127780
OR1E3,Or1e1c,ENSG00000142163
OR7A10,Or7a37,ENSG00000127515
OR7A5,Or7a37,ENSG00000188269
OR1N2,Or1n2,ENSG00000171501
OR1N1,Or1n1b,ENSG00000171505
OR1E1,Or1e33,ENSG00000180016
OR1E2,Or1e33,ENSG00000127780
OR1E3,Or1e33,ENSG00000142163
OR1E1,Or1e35,ENSG00000180016
OR1E2,Or1e35,ENSG00000127780
OR1E3,Or1e35,ENSG00000142163
OR1E1,Or1e32,ENSG00000180016
OR1E2,Or1e32,ENSG00000127780
OR1E3,Or1e32,ENSG00000142163
OR1E1,Or1e34,ENSG00000180016
OR1E2,Or1e34,ENSG00000127780
OR1E3,Or1e34,ENSG00000142163
OR1S1,Or1s2,ENSG00000280204
OR1S2,Or1s2,ENSG00000197887
OR4B1,Or4b1b,ENSG00000175619
OR1E1,Or1e26,ENSG00000180016
OR1E2,Or1e26,ENSG00000127780
OR1E3,Or1e26,ENSG00000142163
OR1E1,Or1e22,ENSG00000180016
OR1E2,Or1e22,ENSG00000127780
OR1E3,Or1e22,ENSG00000142163
OR4S2,Or4s2,ENSG00000174982
OR7G2,Or7g33,ENSG00000170923
OR4S2,Or4s2b,ENSG00000174982
OR1E2,Or1e19,ENSG00000127780
OR1E3,Or1e19,ENSG00000142163
OR1E1,Or1e29,ENSG00000180016
OR1E2,Or1e29,ENSG00000127780
OR1E3,Or1e29,ENSG00000142163
OR4B1,Or4b1d,ENSG00000175619
OR1J4,Or1j4,ENSG00000239590
OR4K15,Or4k15,ENSG00000169488
OR1Q1,Or1q1,ENSG00000165202
OR1I1,Or1i2,ENSG00000094661
OR2A1,Or2a57,ENSG00000221970
OR2A42,Or2a57,ENSG00000212807
OR2A1,Or2a51,ENSG00000221970
OR2A42,Or2a51,ENSG00000212807
OR7G3,Or7g19,ENSG00000170920
OR1E1,Or1e30,ENSG00000180016
OR1E2,Or1e30,ENSG00000127780
OR1E3,Or1e30,ENSG00000142163
OR7G1,Or7g27,ENSG00000161807
OR7G2,Or7g27,ENSG00000170923
OR1F12P,Or1f12,ENSG00000220721
OR4K15,Or4k15c,ENSG00000169488
OR2A4,Or2a7,ENSG00000180658
OR2A7,Or2a7,ENSG00000243896
OR1L4,Or1l4b,ENSG00000136939
OR1M1,Or1m1,ENSG00000170929
OR10R2,Or10b1,ENSG00000198965
OR10T2,Or10b1,ENSG00000186306
OR1E1,Or1e17,ENSG00000180016
OR1E2,Or1e17,ENSG00000127780
OR1E3,Or1e17,ENSG00000142163
OR7G3,Or7g12,ENSG00000170920
OR4K15,Or4k15b,ENSG00000169488
OR7A17,Or7a41,ENSG00000185385
OR7A2P,Or7a41,ENSG00000172148
OR7A5,Or7a41,ENSG00000188269
OR1L4,Or1l4,ENSG00000136939
OR1L6,Or1l4,ENSG00000171459
OR1E1,Or1e23,ENSG00000180016
OR1E2,Or1e23,ENSG00000127780
OR1E3,Or1e23,ENSG00000142163
OR1E1,Or1e25,ENSG00000180016
OR1E2,Or1e25,ENSG00000127780
OR1E3,Or1e25,ENSG00000142163
OR1E1,Or1e31,ENSG00000180016
OR1E2,Or1e31,ENSG00000127780
OR1E3,Or1e31,ENSG00000142163
OR2A1,Or2a20,ENSG00000221970
OR2A42,Or2a20,ENSG00000212807
CDH11,Cdh11,ENSG00000140937
PLA2G4A,Pla2g4a,ENSG00000116711
SCN8A,Scn8a,ENSG00000196876
EN2,En2,ENSG00000164778
PES1,Pes1,ENSG00000100029
HOXB8,Hoxb8,ENSG00000120068
UROD,Urod,ENSG00000126088
AXIN1,Axin1,ENSG00000103126
GFAP,Gfap,ENSG00000131095
TAL1,Tal1,ENSG00000162367
NR4A2,Nr4a2,ENSG00000153234
DNAJC3,Dnajc3,ENSG00000102580
ANXA13,Anxa13,ENSG00000104537
NFYA,Nfya,ENSG00000001167
POU5F1,Pou5f1,ENSG00000204531
POU5F1B,Pou5f1,ENSG00000212993
POU5F2,Pou5f2,ENSG00000248483
SOX11,Sox11,ENSG00000176887
AANAT,Aanat,ENSG00000129673
EFNB2,Efnb2,ENSG00000125266
MEIS3,Meis3,ENSG00000105419
MEIS3P1,Meis3,ENSG00000179277
MEIS3P2,Meis3,ENSG00000188013
TFE3,Tfe3,ENSG00000068323
SMO,Smo,ENSG00000128602
KLF2,Klf2,ENSG00000127528
CEBPB,Cebpb,ENSG00000172216
UBE4B,Ube4b,ENSG00000130939
LHX1,Lhx1,ENSG00000273706
SERPINH1,Serpinh1,ENSG00000149257
HSP90AB1,Hsp90ab1,ENSG00000096384
HSP90AB2P,Hsp90ab1,ENSG00000205940
HSP90AB3P,Hsp90ab1,ENSG00000183199
HSP90AB4P,Hsp90ab1,ENSG00000282100
SRF,Srf,ENSG00000112658
RXRB,Rxrb,ENSG00000204231
EDNRB,Ednrb,ENSG00000136160
STX1B,Stx1b,ENSG00000099365
TEF,Tef,ENSG00000167074
MYB,Myb,ENSG00000118513
WNT1,Wnt1,ENSG00000125084
HOXB9,Hoxb9,ENSG00000170689
INHBA,Inhba,ENSG00000122641
LIMA1,Lima1,ENSG00000050405
OTX1,Otx1,ENSG00000115507
CTSL,Ctsl,ENSG00000135047
CTSV,Ctsl,ENSG00000136943
COPZ2,Copz2,ENSG00000005243
GDF7,Gdf7,ENSG00000143869
NEUROD2,Neurod2,ENSG00000171532
WIF1,Wif1,ENSG00000156076
PRPH2,Prph2,ENSG00000112619
TPM3,Tpm3,ENSG00000143549
TPM1,Tpm1,ENSG00000140416
EFNB1,Efnb1,ENSG00000090776
ANGPT1,Angpt1,ENSG00000154188
PRKCI,Prkci,ENSG00000163558
COX2,mt-Co2,NA
MTCO2P12,mt-Co2,ENSG00000229344
CYP1A1,Cyp1a1,ENSG00000140465
CYP1A2,Cyp1a2,ENSG00000140505
S1PR2,S1pr2,ENSG00000267534
ADARB1,Adarb1,ENSG00000197381
SIX4,Six4,ENSG00000100625
CRIPTO,Cripto,ENSG00000241186
CRIPTO3,Cripto,ENSG00000225366
NRF1,Nrf1,ENSG00000106459
MCL1,Mcl1,ENSG00000143384
ROBO3,Robo3,ENSG00000154134
LDHB,Ldhb,ENSG00000111716
CDH3,Cdh3,ENSG00000062038
CDH1,Cdh1,ENSG00000039068
HOXB4,Hoxb4,ENSG00000182742
MYL7,Myl7,ENSG00000106631
RORC,Rorc,ENSG00000143365
IHH,Ihh,ENSG00000163501
DLX6,Dlx6,ENSG00000006377
EOMES,Eomes,ENSG00000163508
